Z;N;AME20;Prediction;Difference
60.0;89.0;-75.31876;984110400.0;-984110475.31876
60.0;92.0;-70.54584;984110400.0;-984110470.54584
60.0;95.0;-62.35848;984110400.0;-984110462.35848
61.0;72.0;-66.99431;984110400.0;-984110466.99431
61.0;75.0;-72.81788;984110400.0;-984110472.81788
61.0;78.0;-78.78253;984110400.0;-984110478.78253
61.0;81.0;-82.19878;984110400.0;-984110482.19878
61.0;84.0;-82.12994;984110400.0;-984110482.12994
61.0;87.0;-77.4314;984110400.0;-984110477.4314
61.0;90.0;-74.64313;984110400.0;-984110474.64313
61.0;93.0;-68.77338;984110400.0;-984110468.77338
61.0;96.0;-62.61998;984110400.0;-984110462.61998
62.0;73.0;-63.75369;984110400.0;-984110463.75369
62.0;76.0;-72.30344;984110400.0;-984110472.30344
62.0;79.0;-76.77218;984110400.0;-984110476.77218
62.0;82.0;-82.45805;984110400.0;-984110482.45805
62.0;85.0;-78.9921;984110400.0;-984110478.9921
62.0;88.0;-77.69709;984110400.0;-984110477.69709
62.0;91.0;-73.45521;984110400.0;-984110473.45521
62.0;94.0;-69.77478;984110400.0;-984110469.77478
62.0;97.0;-62.52424;984110400.0;-984110462.52424
63.0;75.0;-63.41075;984110400.0;-984110463.41075
63.0;78.0;-71.39751;984110400.0;-984110471.39751
63.0;81.0;-76.51403;984110400.0;-984110476.51403
63.0;84.0;-78.27666;984110400.0;-984110478.27666
63.0;87.0;-75.62343;984110400.0;-984110475.62343
63.0;90.0;-74.66423;984110400.0;-984110474.66423
63.0;93.0;-70.83625;984110400.0;-984110470.83625
63.0;96.0;-66.6883;984110400.0;-984110466.6883
63.0;99.0;-59.22578;984110400.0;-984110459.22578
64.0;77.0;-64.15386;984110400.0;-984110464.15386
64.0;80.0;-71.88563;984110400.0;-984110471.88563
64.0;83.0;-75.05977;984110400.0;-984110475.05977
64.0;86.0;-75.76262;984110400.0;-984110475.76262
64.0;89.0;-74.013;984110400.0;-984110474.013
64.0;92.0;-73.15685;984110400.0;-984110473.15685
64.0;95.0;-68.93274;984110400.0;-984110468.93274
64.0;98.0;-64.63986;984110400.0;-984110464.63986
65.0;76.0;-56.01193;984110400.0;-984110456.01193
65.0;79.0;-63.37986;984110400.0;-984110463.37986
65.0;82.0;-71.54277;984110400.0;-984110471.54277
65.0;85.0;-71.24718;984110400.0;-984110471.24718
65.0;88.0;-72.55503;984110400.0;-984110472.55503
65.0;91.0;-71.41806;984110400.0;-984110471.41806
65.0;94.0;-70.50183;984110400.0;-984110470.50183
65.0;97.0;-66.14299;984110400.0;-984110466.14299
65.0;101.0;-58.17889;984110400.0;-984110458.17889
66.0;79.0;-58.87297;984110400.0;-984110458.87297
66.0;82.0;-68.22477;984110400.0;-984110468.22477
66.0;85.0;-68.5158;984110400.0;-984110468.5158
66.0;88.0;-70.97841;984110400.0;-984110470.97841
66.0;91.0;-70.32663;984110400.0;-984110470.32663
66.0;94.0;-70.18147;984110400.0;-984110470.18147
66.0;97.0;-66.84938;984110400.0;-984110466.84938
66.0;100.0;-63.13963;984110400.0;-984110463.13963
66.0;103.0;-56.23367;984110400.0;-984110456.23367
67.0;79.0;-53.04513;984110400.0;-984110453.04513
67.0;82.0;-62.77708;984110400.0;-984110462.77708
67.0;85.0;-64.21116;984110400.0;-984110464.21116
67.0;88.0;-67.53004;984110400.0;-984110467.53004
67.0;91.0;-67.71009;984110400.0;-984110467.71009
67.0;94.0;-68.33747;984110400.0;-984110468.33747
67.0;97.0;-65.92494;984110400.0;-984110465.92494
67.0;100.0;-63.28483;984110400.0;-984110463.28483
67.0;103.0;-57.07362;984110400.0;-984110457.07362
68.0;79.0;-47.61129;984110400.0;-984110447.61129
68.0;82.0;-58.31127;984110400.0;-984110458.31127
68.0;85.0;-60.7318;984110400.0;-984110460.7318
68.0;88.0;-64.76813;984110400.0;-984110464.76813
68.0;91.0;-65.6878;984110400.0;-984110465.6878
68.0;94.0;-67.1663;984110400.0;-984110467.1663
68.0;97.0;-65.51224;984110400.0;-984110465.51224
68.0;100.0;-63.85205;984110400.0;-984110463.85205
68.0;103.0;-58.75604;984110400.0;-984110458.75604
69.0;79.0;-39.84776;984110400.0;-984110439.84776
69.0;84.0;-55.07864;984110400.0;-984110455.07864
69.0;87.0;-57.96353;984110400.0;-984110457.96353
69.0;90.0;-62.26367;984110400.0;-984110462.26367
69.0;93.0;-62.84414;984110400.0;-984110462.84414
69.0;96.0;-64.15096;984110400.0;-984110464.15096
69.0;99.0;-62.60811;984110400.0;-984110462.60811
69.0;102.0;-60.55887;984110400.0;-984110460.55887
69.0;105.0;-54.98332;984110400.0;-984110454.98332
70.0;81.0;-42.24152;984110400.0;-984110442.24152
70.0;85.0;-51.18389;984110400.0;-984110451.18389
70.0;88.0;-56.79422;984110400.0;-984110456.79422
70.0;91.0;-59.1907;984110400.0;-984110459.1907
70.0;94.0;-62.25771;984110400.0;-984110462.25771
70.0;97.0;-61.95914;984110400.0;-984110461.95914
70.0;100.0;-61.94729;984110400.0;-984110461.94729
70.0;103.0;-58.66865;984110400.0;-984110458.66865
70.0;106.0;-54.96222;984110400.0;-984110454.96222
71.0;82.0;-39.7419;984110400.0;-984110439.7419
71.0;86.0;-48.38156;984110400.0;-984110448.38156
71.0;89.0;-52.1317;984110400.0;-984110452.1317
71.0;92.0;-56.65581;984110400.0;-984110456.65581
71.0;95.0;-58.27381;984110400.0;-984110458.27381
71.0;98.0;-59.87472;984110400.0;-984110459.87472
71.0;101.0;-58.2199;984110400.0;-984110458.2199
71.0;104.0;-56.82803;984110400.0;-984110456.82803
71.0;107.0;-52.05078;984110400.0;-984110452.05078
71.0;110.0;-46.89262;984110400.0;-984110446.89262
72.0;86.0;-43.24695;984110400.0;-984110443.24695
72.0;89.0;-47.49725;984110400.0;-984110447.49725
72.0;92.0;-52.97805;984110400.0;-984110452.97805
72.0;95.0;-55.29447;984110400.0;-984110455.29447
72.0;98.0;-57.62989;984110400.0;-984110457.62989
72.0;101.0;-56.76563;984110400.0;-984110456.76563
72.0;104.0;-56.14327;984110400.0;-984110456.14327
72.0;107.0;-52.15769;984110400.0;-984110452.15769
72.0;110.0;-48.08285;984110400.0;-984110448.08285
72.0;113.0;-40.2169;984110400.0;-984110440.2169
73.0;86.0;-36.29517;984110400.0;-984110436.29517
73.0;89.0;-41.70789;984110400.0;-984110441.70789
73.0;92.0;-47.77604;984110400.0;-984110447.77604
73.0;95.0;-50.71976;984110400.0;-984110450.71976
73.0;98.0;-53.93428;984110400.0;-984110453.93428
73.0;101.0;-53.72418;984110400.0;-984110453.72418
73.0;104.0;-53.83823;984110400.0;-984110453.83823
73.0;108.0;-50.72439;984110400.0;-984110450.72439
73.0;111.0;-44.88964;984110400.0;-984110444.88964
73.0;114.0;-38.71947;984110400.0;-984110438.71947
74.0;88.0;-35.15704;984110400.0;-984110435.15704
74.0;91.0;-40.15276;984110400.0;-984110440.15276
74.0;94.0;-46.15502;984110400.0;-984110446.15502
74.0;97.0;-48.39605;984110400.0;-984110448.39605
74.0;100.0;-51.73602;984110400.0;-984110451.73602
74.0;103.0;-51.49194;984110400.0;-984110451.49194
74.0;106.0;-51.48996;984110400.0;-984110451.48996
74.0;109.0;-48.12712;984110400.0;-984110448.12712
74.0;112.0;-44.03532;984110400.0;-984110444.03532
74.0;115.0;-36.9785;984110400.0;-984110436.9785
75.0;86.0;-22.46932;984110400.0;-984110422.46932
75.0;90.0;-32.22626;984110400.0;-984110432.22626
75.0;94.0;-39.89521;984110400.0;-984110439.89521
75.0;97.0;-43.27816;984110400.0;-984110443.27816
