Z;N;AME20;Prediction;Difference
-2.03581070294363;-1.7617456312874853;-27.42;-27.236565;-0.18343536376953296
-2.03581070294363;-1.7440881513534265;-23.0;-11.530375;-11.469625473022461
-2.03581070294363;-1.7264306714193678;-23.31;-24.168932;0.8589319610595716
-2.03581070294363;-1.708773191485309;-18.56;-8.216853;-10.34314685821533
-2.03581070294363;-1.6911157115512503;-17.23;-17.345259;0.11525871276855426
-2.03581070294363;-1.6734582316171915;-11.96;-1.7977006;-10.162299356460572
-2.03581070294363;-1.6558007516831328;-9.01;-8.702063;-0.30793739318847635
-2.03581070294363;-1.638143271749074;-3.25;5.5441594;-8.794159412384033
-2.03581070294363;-1.6204857918150155;0.62;0.59885913;0.021140868663787837
-2.03581070294363;-1.6028283118809568;8.13;13.695716;-5.565715904235839
-2.03581070294363;-1.585170831946898;13.03;11.815942;1.2140581893920892
-2.03581070294363;-1.5675133520128393;21.32;23.12755;-1.80755012512207
-2.03581070294363;-1.5498558720787805;26.68;24.858746;1.8212544250488278
-2.03581070294363;-1.5321983921447218;37.4;33.55101;3.848989868164061
-2.03581070294363;-1.514540912210663;42.29;38.93925;3.3507490539550773
-2.03581070294363;-1.4968834322766045;52.41;44.83249;7.577510986328122
-2.03581070294363;-1.4792259523425457;59.27;52.349865;6.920135040283206
-1.998035887822212;-2.0089503503643074;68.86;65.13781;3.7221902465820307
-1.998035887822212;-1.9912928704302486;56.68;47.22994;9.450061492919922
-1.998035887822212;-1.9736353904961899;40.56;47.070934;-6.510934295654295
-1.998035887822212;-1.955977910562131;30.26;32.86491;-2.6049101257324203
-1.998035887822212;-1.9383204306280724;15.6;33.2583;-17.65830078125
-1.998035887822212;-1.9206629506940136;6.29;24.586634;-18.296633682250977
-1.998035887822212;-1.9030054707599549;-5.61;23.797367;-29.407367095947265
-1.998035887822212;-1.8853479908258963;-12.7;18.80972;-31.50971908569336
-1.998035887822212;-1.8676905108918376;-20.2;17.974798;-38.17479820251465
-1.998035887822212;-1.8500330309577788;-23.72;15.344741;-39.064740867614745
-1.998035887822212;-1.83237555102372;-28.27;13.493748;-41.76374771118164
-1.998035887822212;-1.8147180710896613;-28.78;13.38186;-42.16185977935791
-1.998035887822212;-1.7970605911556026;-30.46;10.773673;-41.23367305755615
-1.998035887822212;-1.7794031112215438;-29.04;11.796188;-40.83618835449219
-1.998035887822212;-1.7617456312874853;-29.87;7.493439;-37.36343919754029
-1.998035887822212;-1.7440881513534265;-27.45;10.353213;-37.8032133102417
-1.998035887822212;-1.7264306714193678;-28.29;3.8429892;-32.132989206314086
-1.998035887822212;-1.708773191485309;-24.48;11.3984785;-35.87847850799561
-1.998035887822212;-1.6911157115512503;-24.46;3.4522517;-27.912251672744752
-1.998035887822212;-1.6734582316171915;-20.22;15.642796;-35.86279556274414
-1.998035887822212;-1.6558007516831328;-18.29;5.157681;-23.447680988311767
-1.998035887822212;-1.638143271749074;-13.32;20.717535;-34.0375350189209
-1.998035887822212;-1.6204857918150155;-9.72;6.7587;-16.478699893951415
-1.998035887822212;-1.6028283118809568;-3.66;25.93279;-29.592790756225586
-1.998035887822212;-1.585170831946898;1.13;11.667912;-10.537911529541017
-1.998035887822212;-1.5675133520128393;8.42;32.22027;-23.800268249511717
-1.998035887822212;-1.5498558720787805;13.65;20.499115;-6.849114990234375
-1.998035887822212;-1.5321983921447218;21.9;40.249733;-18.349732971191408
-1.998035887822212;-1.514540912210663;27.92;31.478268;-3.5582676696777327
-1.998035887822212;-1.4968834322766045;36.86;49.18608;-12.326080932617188
-1.998035887822212;-1.4792259523425457;44.2;43.744835;0.4551651000976591
-1.998035887822212;-1.461568472408487;55.4;59.651672;-4.251672363281251
-1.998035887822212;-1.4439109924744282;61.17;56.27505;4.894948883056642
-1.998035887822212;-1.4262535125403695;69.83;73.35023;-3.520227355957033
-1.998035887822212;-1.4085960326063107;76.76;69.10551;7.654493103027349
-1.998035887822212;-1.390938552672252;86.52;86.3113;0.20869781494140227
-1.998035887822212;-1.3732810727381934;93.75;82.64992;11.100082397460938
-1.998035887822212;-1.3556235928041347;103.01;99.487274;3.52272583007813
-1.998035887822212;-1.337966112870076;111.38;96.445915;14.934084777832027
-1.998035887822212;-1.3203086329360172;120.52;113.61137;6.90863372802734
-1.9602610727007939;-1.9912928704302486;63.85;34.290295;29.559705352783205
-1.9602610727007939;-1.9736353904961899;49.32;17.471088;31.848911590576172
-1.9602610727007939;-1.955977910562131;38.93;14.337547;24.592452697753906
-1.9602610727007939;-1.9383204306280724;22.43;-3.8677518;26.297751836776733
-1.9602610727007939;-1.9206629506940136;12.46;0.022949502;12.437050498127938
-1.9602610727007939;-1.9030054707599549;-1.48;-18.998375;17.518374938964843
-1.9602610727007939;-1.8853479908258963;-8.86;-10.13139;1.2713896179199224
-1.9602610727007939;-1.8676905108918376;-17.96;-28.0785;10.118500747680663
-1.9602610727007939;-1.8500330309577788;-21.95;-16.821838;-5.128161621093749
-1.9602610727007939;-1.83237555102372;-30.81;-33.484043;2.674043121337892
-1.9602610727007939;-1.8147180710896613;-31.76;-22.272175;-9.487825164794923
-1.9602610727007939;-1.7970605911556026;-35.76;-36.525074;0.7650740051269551
-1.9602610727007939;-1.7794031112215438;-33.2;-26.020802;-7.17919845581055
-1.9602610727007939;-1.7617456312874853;-35.62;-39.445877;3.825877075195315
-1.9602610727007939;-1.7440881513534265;-33.21;-27.805687;-5.404313049316407
-1.9602610727007939;-1.7264306714193678;-35.75;-39.363968;3.6139678955078125
-1.9602610727007939;-1.708773191485309;-31.51;-26.981873;-4.528127441406252
-1.9602610727007939;-1.6911157115512503;-32.76;-35.651566;2.8915655517578145
-1.9602610727007939;-1.6734582316171915;-29.43;-22.915365;-6.514634780883789
-1.9602610727007939;-1.6558007516831328;-28.86;-29.97505;1.1150499725341803
-1.9602610727007939;-1.638143271749074;-24.62;-17.156876;-7.4631243896484385
-1.9602610727007939;-1.6204857918150155;-21.76;-23.019133;1.2591326141357406
